country;variable;description;code;2014
AUS;K;Crop and animal production, hunting and related service activities;A01;125 137
AUS;K;Forestry and logging;A02;6 443
AUS;K;Fishing and aquaculture;A03;7 777
AUS;K;Mining and quarrying;B;815 665
AUS;K;Manufacture of food products, beverages and tobacco products;C10-C12;49 380
AUS;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;5 939
AUS;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;9 872
AUS;K;Manufacture of paper and paper products;C17;4 411
AUS;K;Printing and reproduction of recorded media;C18;5 448
AUS;K;Manufacture of coke and refined petroleum products ;C19;6 462
AUS;K;Manufacture of chemicals and chemical products ;C20;11 838
AUS;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;7 458
AUS;K;Manufacture of rubber and plastic products;C22;7 655
AUS;K;Manufacture of other non-metallic mineral products;C23;8 834
AUS;K;Manufacture of basic metals;C24;11 958
AUS;K;Manufacture of fabricated metal products, except machinery and equipment;C25;25 372
AUS;K;Manufacture of computer, electronic and optical products;C26;6 191
AUS;K;Manufacture of electrical equipment;C27;3 492
AUS;K;Manufacture of machinery and equipment n.e.c.;C28;5 464
AUS;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;3 609
AUS;K;Manufacture of other transport equipment;C30;4 081
AUS;K;"Manufacture of furniture; other manufacturing";C31_C32;1 388
AUS;K;Repair and installation of machinery and equipment;C33;0
AUS;K;Electricity, gas, steam and air conditioning supply;D35;200 618
AUS;K;Water collection, treatment and supply;E36;92 855
AUS;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;30 462
AUS;K;Construction;F;60 372
AUS;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;6 686
AUS;K;Wholesale trade, except of motor vehicles and motorcycles;G46;57 082
AUS;K;Retail trade, except of motor vehicles and motorcycles;G47;62 544
AUS;K;Land transport and transport via pipelines;H49;29 251
AUS;K;Water transport;H50;3 639
AUS;K;Air transport;H51;6 541
AUS;K;Warehousing and support activities for transportation;H52;28 424
AUS;K;Postal and courier activities;H53;4 842
AUS;K;Accommodation and food service activities;I;395 732
AUS;K;Publishing activities;J58;14 601
AUS;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;16 068
AUS;K;Telecommunications;J61;46 372
AUS;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;61 168
AUS;K;Financial service activities, except insurance and pension funding;K64;77 039
AUS;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;14 642
AUS;K;Activities auxiliary to financial services and insurance activities;K66;19 395
AUS;K;Real estate activities;L68;2 278 733
