NACE_R2,AT
A01,35265
A02,3186
A03,377
B,2708
C10-12,9538
C13-15,2036
C16,4510
C17,3984
C18,2204
C19,1279
C20,3619
C21,2509
C22,2813
C23,5513
C24,6399
C25,6716
C26,3642
C27,2953
C28,4756
C29,4853
C30,490
C31_32,3066
C33,876
D,26445
E36,5390
E37-39,25819
F,31840
G45,4664
G46,17635
G47,15804
H49,26137
H50,162
H51,2123
H52,51575
H53,654
I,23530
J58,350
J59_60,699
J61,12814
J62_63,1162
K64,12994
K65,2906
K66,249
L,145724
M69_70,4034
M71,4043
M72,658
M73,919
M74_75,734
N77,24615
N78,176
N79,618
N80-82,2946
O,60502
P,22722
Q86,28166
Q87_88,7760
R90-92,3196
R93,7606
S94,6109
S95,77
S96,4728
