PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
A01,1222,0,0,0,3608,10,0,0,0,0,40,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,6,3,4,12,0,0,0,0,0,0,0,5141,1602,0,0,1602,172,0,86,86,258,611,550,60,90,701,2561,7702
A02,2,911,0,0,7,0,1003,359,0,0,14,1,0,1,0,0,0,0,0,3,0,0,0,36,0,0,6,0,1,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2360,284,0,0,284,0,0,79,79,79,78,74,4,4,82,445,2805
A03,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,47,0,0,47,0,0,1,1,1,2,1,1,0,2,50,92
B,9,1,0,292,20,0,1,78,0,2960,889,0,3,350,867,1,0,6,1,1,0,0,0,2538,7,3,270,0,1,2,2,0,0,9,1,2,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,11,46,4,3,3,1,1,2,0,2,0,0,8396,49,0,0,49,91,0,-156,-156,-65,5218,1788,3430,-4218,1001,985,9380
C10-12,541,1,6,0,2476,91,0,18,0,0,212,42,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,11,0,0,2637,1,0,0,1,14,9,0,0,1,0,2,1,1,2,0,0,0,32,59,111,258,3,0,2,0,0,0,0,6547,8949,0,1,8950,0,0,85,85,85,5377,4300,1077,2107,7484,16519,23066
C13-15,14,1,0,1,13,853,0,28,2,0,0,0,66,39,9,15,9,6,29,66,13,92,0,0,0,2,50,31,20,40,13,0,1,7,0,22,3,0,0,0,14,7,2,7,12,6,10,1,6,6,3,2,10,23,4,40,26,6,2,5,9,7,0,0,1653,4355,0,0,4355,162,0,18,18,181,2241,1799,442,704,2945,7481,9134
C16,17,0,0,6,20,3,1865,41,4,0,12,0,18,17,14,20,9,20,24,2,4,247,3,34,0,1,1341,0,61,39,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,2,0,0,0,6,30,1,2,0,3,0,0,2,0,0,0,3873,50,0,0,50,941,0,44,44,986,2425,2197,227,866,3291,4326,8199
C17,4,1,0,4,333,16,159,1113,474,0,314,53,62,51,6,44,14,18,48,6,9,23,4,1,0,1,33,17,102,107,9,0,2,12,3,50,2,0,8,43,29,12,9,13,58,25,75,31,26,10,9,4,44,96,3,33,21,11,1,13,1,19,0,0,3691,291,0,0,291,0,0,160,160,160,2608,1734,874,1253,3861,4312,8002
C18,0,0,0,0,10,1,1,13,116,0,1,0,1,1,1,0,1,1,2,1,1,1,0,2,0,2,5,13,6,25,2,0,1,2,1,3,1001,2,5,20,21,9,4,8,30,14,48,204,7,6,2,6,10,94,11,2,1,11,1,86,0,2,0,0,1821,0,0,1,1,0,0,11,11,11,771,483,288,45,816,828,2650
C19,209,28,1,40,85,7,39,12,5,138,72,4,13,117,585,47,2,47,20,12,5,16,13,84,3,75,422,32,168,156,854,4,482,76,13,185,4,4,5,18,15,4,2,51,26,20,18,5,12,32,4,11,37,163,135,162,90,24,27,53,1,23,0,0,5012,2712,0,0,2712,0,0,-63,-63,-63,2552,1556,996,-910,1643,4292,9304
C20,189,4,0,43,354,266,163,417,65,172,7106,236,1202,209,25,142,269,165,35,79,20,101,6,5,6,3,246,8,28,10,5,0,2,15,0,35,1,0,0,0,6,2,1,25,7,16,127,1,26,2,0,0,44,18,0,109,22,4,3,5,1,40,0,0,12092,1096,0,0,1096,22,0,498,498,520,8973,6206,2766,1542,10515,12131,24223
C21,4,0,0,0,51,0,0,0,0,0,0,575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,35,0,0,0,0,5,0,952,25,0,0,0,0,0,0,0,1670,769,0,1405,2174,0,0,0,0,0,1174,715,460,1740,2914,5089,6759
C22,26,0,0,8,419,34,38,46,71,3,133,44,379,139,21,66,60,177,258,250,79,164,26,3,11,4,1039,150,168,81,44,0,2,24,1,12,8,0,4,12,22,15,6,20,16,37,33,10,20,14,4,1,35,17,6,158,23,5,3,8,14,20,0,0,4497,481,0,0,481,260,0,66,66,326,2819,2144,674,880,3698,4505,9002
C23,6,0,1,3,71,7,66,1,0,0,9,30,70,746,43,76,29,106,34,46,40,34,12,4,11,0,2793,18,8,2,4,0,0,4,0,0,0,0,0,0,0,0,0,26,1,8,5,0,4,0,0,0,18,54,0,11,0,0,0,0,0,0,0,0,4400,162,0,0,162,436,0,30,30,466,1068,814,254,1001,2069,2697,7097
C24,0,0,0,8,6,0,20,22,3,0,28,1,48,45,4674,1962,70,571,845,301,142,1090,123,10,9,1,584,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10578,4,0,0,4,262,427,6,433,695,7630,6097,1533,1811,9441,10140,20718
C25,43,10,0,6,221,11,71,1,2,1,24,6,57,41,379,2106,70,367,1440,371,221,278,160,9,2,5,1385,258,205,27,23,0,1,10,0,76,6,0,2,0,15,8,3,24,8,27,67,2,2,2,0,0,7,77,22,20,16,7,3,11,9,2,0,0,8228,291,0,0,291,787,0,88,88,875,3769,2815,955,1473,5243,6409,14637
C26,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,870,328,158,109,57,97,419,4,6,0,112,16,12,2,0,0,0,0,0,0,0,34,472,209,0,0,0,0,0,45,10,0,0,2,0,0,0,1,0,28,0,0,0,0,51,0,0,0,3052,1509,0,31,1540,2258,0,81,81,2339,3162,2457,705,2120,5282,9161,12213
C27,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,131,1106,387,71,71,47,474,172,0,0,991,76,0,0,0,0,0,0,0,3,0,1,38,8,1,2,0,2,0,35,2,1,0,0,0,0,1,17,4,8,2,1,0,6,28,30,0,0,3722,972,0,0,972,1026,0,327,327,1353,4587,3295,1292,2383,6969,9295,13016
C28,4,0,0,22,32,8,19,12,17,0,6,15,29,15,33,0,3,110,3311,1833,144,26,296,5,0,2,459,238,68,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,124,0,0,1,12,0,0,0,2,0,0,0,0,0,0,6,0,0,0,6855,120,0,0,120,5701,0,-409,-409,5292,7859,5787,2071,5829,13688,19100,25955
C29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,205,3500,48,8,0,0,0,1,0,652,0,0,56,0,0,26,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,5,0,0,0,0,0,12,0,0,0,0,4527,2736,0,0,2736,3487,0,-293,-293,3194,8410,6847,1563,2456,10866,16796,21323
C30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,938,0,224,0,0,0,0,0,0,0,15,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1231,253,0,9,263,760,0,96,96,855,1526,1169,358,1178,2705,3823,5054
C31_32,1,0,0,0,2,8,0,0,2,0,4,0,0,5,0,8,33,48,1,0,2,563,0,0,1,3,0,0,9,6,0,0,0,0,0,4,5,0,0,0,4,2,0,13,16,9,5,1,33,2,0,0,17,10,9,372,13,2,0,1,3,16,0,0,1235,2904,0,234,3138,1524,651,71,722,2246,2792,2272,519,1257,4049,9433,10668
C33,246,62,1,38,119,6,37,66,21,46,65,18,20,31,46,169,76,78,257,49,18,21,918,481,29,48,154,23,269,28,393,4,146,43,2,12,1,6,174,5,0,0,0,1,0,4,16,1,6,91,0,0,12,109,10,173,10,3,21,1,0,4,0,0,4687,0,0,0,0,2063,0,0,0,2063,722,514,208,222,943,3007,7694
D,93,6,2,92,262,44,139,367,25,2,431,59,93,223,550,95,36,67,78,72,13,32,24,11900,21,67,80,29,102,172,401,0,8,44,13,212,6,10,61,20,31,7,3,261,39,21,39,8,11,10,5,3,22,221,256,243,141,59,67,44,1,26,0,0,17469,3760,0,0,3760,0,0,-15,-15,-15,1730,1830,-99,57,1788,5533,23002
E36,5,0,0,1,12,3,2,1,1,0,11,2,1,1,3,2,1,1,1,0,1,3,1,3,19,7,9,2,18,11,5,0,0,10,1,35,0,0,3,1,3,8,1,429,5,1,5,0,0,2,1,0,4,32,9,17,9,5,4,4,0,1,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,721
E37-39,4,1,0,2,24,4,45,322,1,1,6,1,179,32,934,10,6,6,13,2,5,9,4,328,2,2161,25,12,65,20,15,0,0,13,1,41,3,1,3,6,22,38,7,2061,31,5,4,4,5,6,3,1,17,27,10,49,8,5,2,6,0,3,0,0,6621,71,0,0,71,0,0,21,21,21,726,672,54,161,887,979,7600
F,28,32,3,46,185,29,156,63,34,67,93,30,65,155,120,115,29,51,103,58,7,47,191,171,62,172,10241,57,310,382,148,1,3,370,30,538,14,22,23,61,126,6,19,3230,49,50,89,9,20,40,3,2,42,340,283,222,128,95,91,59,2,37,0,0,19256,1363,0,0,1363,23265,0,1,1,23266,465,317,149,162,628,25257,44513
G45,18,1,0,4,31,2,15,2,2,0,5,0,4,19,3,6,0,9,62,328,23,14,3,12,2,51,120,465,121,40,425,0,2,81,2,17,4,1,0,10,5,2,2,8,51,17,5,4,4,76,1,9,20,44,9,43,15,2,1,15,0,7,0,0,2245,3646,0,0,3646,664,0,4,4,667,445,372,73,92,537,4851,7095
G46,150,7,2,24,781,152,503,325,116,41,444,139,261,230,364,429,197,508,934,436,169,359,482,115,7,112,1416,177,1143,291,101,1,34,56,10,808,25,10,133,46,33,16,7,44,58,81,123,12,57,35,9,5,71,126,39,595,121,101,10,30,58,58,0,0,13224,5755,0,523,6278,2071,51,184,234,2306,6052,4097,1955,3247,9299,17883,31107
G47,11,2,0,1,27,1,4,1,1,0,1,0,0,2,1,6,0,0,0,0,0,4,3,3,0,4,22,10,57,42,30,0,0,5,1,164,5,1,55,3,23,9,4,14,20,3,11,3,3,7,2,5,9,36,34,13,29,7,3,6,1,4,0,0,717,17259,0,533,17792,740,196,0,196,936,0,0,0,0,0,18728,19445
H49,11,0,0,74,471,46,323,308,43,68,237,18,122,276,246,162,15,74,189,70,36,57,23,127,1,61,229,61,1758,114,1372,2,10,4,44,32,116,2,7,0,15,25,3,5,40,11,11,3,2,5,1,34,3,59,53,21,11,2,2,6,3,3,0,0,7125,3699,0,1828,5527,92,1,17,18,110,4115,3297,818,736,4851,10488,17613
H50,1,0,0,3,9,1,8,12,1,5,5,1,2,5,35,4,1,3,6,2,1,1,0,4,0,1,8,1,597,3,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1,1,1,0,0,0,0,0,0,0,0,763,34,0,0,34,1,0,0,0,1,226,178,48,177,403,438,1201
H51,0,0,0,1,43,5,8,7,2,1,14,4,8,18,13,28,13,0,40,4,9,14,17,21,2,10,64,20,222,30,43,0,255,13,13,15,6,4,7,11,39,77,5,8,127,18,28,6,5,11,4,327,9,55,11,28,4,5,3,15,2,4,0,0,1775,1262,0,0,1262,0,0,0,0,0,499,355,143,460,959,2221,3996
H52,8,1,0,32,180,13,105,86,16,22,70,5,37,85,84,53,4,36,67,27,11,23,13,241,0,57,87,28,860,77,1121,37,983,997,1,11,33,0,4,0,3,4,1,0,23,5,3,1,1,26,1,1,1,7,4,17,4,1,1,3,1,4,0,0,5628,692,0,1539,2231,44,0,7,7,51,1366,1118,248,458,1825,4107,9734
H53,4,0,0,3,20,3,5,5,8,1,6,3,6,6,8,13,6,3,21,5,3,7,8,21,1,7,34,19,137,61,15,0,2,30,732,27,16,5,5,23,93,43,13,28,76,20,9,13,6,7,7,11,19,107,16,41,11,8,8,98,1,4,0,0,1917,269,0,0,269,0,0,0,0,0,277,252,25,99,377,646,2562
I,4,1,0,5,111,10,16,10,2,2,22,9,9,17,25,41,23,0,81,7,15,26,38,66,4,19,131,38,380,63,58,2,96,26,4,179,5,5,22,21,94,139,6,27,193,36,48,8,10,23,7,826,16,115,56,51,41,9,7,33,6,7,0,0,3352,16703,0,15,16718,0,0,0,0,0,1851,1388,463,400,2251,18968,22320
J58,1,0,0,1,31,5,4,3,317,0,9,5,1,1,1,2,10,0,8,3,7,11,7,13,0,6,23,39,159,85,7,0,4,5,4,10,41,2,20,34,89,37,15,35,30,5,28,949,8,24,8,23,17,103,50,26,6,13,2,10,1,6,0,0,2362,1073,0,51,1124,365,0,9,9,374,662,549,113,225,887,2384,4746
