PROD_NA/INDUSE,A,B,C10-12,C13-15,C16-18,C19,C20,C21,C22-23,C24-25,C26,C27,C28,C29-30,C31-33,D,E,F,G,H,I,J58-60,J61,J62_63,K,L,M69-71,M72,M73-75,N,O,P,Q86,Q87_88,R,S,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
A,865,0,7825,60,379,0,46,7,23.72,0.33,0,0,0,13,20,0,4,8,222.09,0,276,0,0,6,0,1.92,3.06,1,0,39.17,9,0,11,104,1,19.73,0,0,9943,2467,0,0,2467,137,0,190,190,327,2713,2384,328,426,3139,5933,15876
B,6,108.25,34.9,4.56,27,13106.45,391.77,0,560.33,1469.57,0,17.46,0,0,153,156.25,7,180.56,127.61,4,0,0,0,1.61,1,6.20,0.74,0.01,0,44.26,9.67,0,0.66,0.5,0,0.00,0,0,16418.83,46.94,0,0,46.94,0,0,-133.58,-133.58,-133.58,1102.86,1004.44,98.42,7088.61,8191.47,8104.82,24523.65
C10-12,1763,0.07,8038.02,9.75,18,0.52,518.8,1.01,0.77,0.35,0,0,0,2,0,0,12,0.09,432.83,0,3266.86,18,0,1.87,0,0.21,2.00,0.69,0,9.05,87.05,26.6,115.23,305.67,107,29.65,0,0,14766.99,13326.57,0,0,13326.57,0,0,252.05,252.05,252.05,16112.81,13469.68,2643.13,2675.91,18788.72,32367.34,47134.33
C13-15,18,0.18,9.02,1226.29,84,0.87,32.91,47.79,33.96,12.72,0.36,0.38,3.01,48,158,0.03,9,329.51,153.71,9,14.47,1,0.47,0.63,0,6.55,22.54,7.38,1,43.40,24.78,2.4,39.97,18.39,22,107.20,0,0,2487.16,3903.61,0,0,3903.61,0,0,33.79,33.79,33.79,4876.28,3682.92,1193.37,980.61,5856.9,9794.29,12281.45
C16-18,23,2.47,882.49,39.98,2912,3.32,239.98,51.20,276.53,93.28,21.97,31.11,28.07,33,320,25.21,14,1344.15,1053.91,117,70.73,886,20.63,20.61,90,49.69,193.99,14.14,283,227.67,176.39,71.90,135.62,26.56,88,80.50,0.00,0.00,9947.44,641.28,0.00,0.00,641.28,28.56,0.00,143.07,143.07,171.63,4008.25,3380.86,627.38,744.87,4753.11,5566.04,15513.48
C19,395,13.28,39.59,12.69,21,6788.6,4753.41,2.54,286.97,94.91,1.62,15.78,46.54,10,104,22.11,34,379.02,430.55,1811,24.75,9,13.09,44.19,43,45.85,130.47,33.77,5,135.34,160.27,8.94,85.03,58.28,11,50.85,0,0,16120.32,4010.22,0,0,4010.22,0,0,229.3,229.3,229.3,9206.68,8531.98,674.7,5521.84,14728.52,18968.04,35088.35
C20,284,6.69,500.74,770.37,669,392.61,12518.01,800.84,1920.38,340.74,168.91,111.99,17.81,83,223,237,138,267.35,333.71,16,33.68,0,0.01,5.7,2,9.26,14.58,53.61,69,57.43,30.59,7.33,318.28,27.39,3,160.05,0,0,20591.81,767.85,0,0,767.85,56.33,0,285.83,285.83,342.16,26783.88,21877.17,4906.72,9672.29,36456.17,37566.18,58157.99
C21,3,0.01,150.76,0,0,2.62,31.61,888.93,0.62,0.03,0.02,0,0,1,0,0,0,0,53.30,0,0,0,0,0,0,0.00,14.63,144.24,43,107.78,7.51,0.83,2156.71,62.89,0,0.00,0,0,3668.9,876.66,1.27,874,1751.92,0,0,116.48,116.48,116.48,5653.62,4620.93,1032.69,4531.78,10185.4,12053.8,15722.7
C22-23,43,13.15,791.68,62.91,191,6.51,326.88,138.23,1574.89,391.06,66.47,166.46,156.26,774,177,18.75,18,4456.98,379.77,119,63.26,3,0.00,0.15,7,74.78,18.74,1.83,10,266.95,55.77,0.55,26.78,5.73,1,52.98,0.00,0.00,10460.24,770.48,0.00,0.00,770.48,13.16,0.00,103.07,103.07,116.22,8346.85,6753.24,1593.61,1514.84,9861.69,10748.40,21208.64
C24-25,26,19.31,265.43,23.19,35,43.22,594.06,2.91,238.39,11353.21,184.76,654.44,936.70,704,686,37.24,25,3425.08,148.51,245,56.36,0,0.00,0.90,24,67.22,28.22,26.14,8,52.16,129.97,0.05,20.65,2.14,25,4.34,0.00,0.00,20092.92,353.52,0.00,0.00,353.52,2672.73,0.00,857.77,857.77,3530.49,17224.53,14775.77,2448.76,3890.32,21114.85,24998.86,45091.79
C26,2,0.4,0,0.05,0,3.97,68.93,0,4.72,38.38,757.64,180.96,215.69,601,326,37.59,9,818.94,181.33,61,0.41,1,196.98,13.31,2,3.87,9.09,15.9,12,4.22,89.85,3.31,20.92,9.35,0,0.55,0,0,3689.26,996.23,0,0,996.23,3546.28,0,101.82,101.82,3648.1,3685.01,3061.71,623.3,1443.02,5128.03,9772.35,13461.62
C27,11,0.35,0.55,2.81,0,5.39,58.12,0,1.58,101.00,72.07,570.42,270.46,305,331,260.11,7,1164.83,96.84,18,0.45,0,0,0.03,0,0.00,0.19,0.38,4,4.63,24.01,1.75,2.27,0.59,0,1.83,0,0,3317.33,1166.84,0,0,1166.84,1344.36,0,57.62,57.62,1401.99,3209.36,2521.9,687.46,1202.88,4412.23,6981.06,10298.39
C28,99,4.77,18.27,0.98,14,19.61,193.18,5.16,13.06,135.91,15.38,10.43,2077.77,558,136,0,28,802.76,29.60,9,8.59,0,1.86,0.02,2,1.88,0.51,24.77,0,15.01,21.3,1.42,20.69,0.83,1,3.88,0,0,4273.78,126.49,0,0,126.49,5087.46,0,-26,-26,5061.46,6923.72,5233.92,1689.8,4617.23,11540.94,16728.89,21002.67
C29-30,6,0,0,0,0,0,4,1,0.22,5.68,0,14,3,7259,143,0,5,0,325.95,276,0,0,0,0,0,0.00,151.30,0,0,9.90,50,0,15,2,0,10.07,0,0,8283,4929,0,0,4929,6167,0,360,360,6527,17276,12441,4835,3966,21242,32698,40981
C31-33,91,47.10,409.57,107.18,259,97.28,158.20,61.36,246.71,556.99,3.91,27.22,57.62,178,401,399.40,114,345.81,523.42,720,44.87,19,151.60,26.23,47,135.93,519.88,120.89,51,170.67,45.95,53.32,471.43,99.61,84,61.43,0.00,0.00,6907.77,2599.52,3.06,113.24,2715.83,1614.55,0.00,1.08,1.08,1615.63,4479.33,3756.08,723.25,4542.13,9021.46,13352.92,20260.68
