PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
A01,433,13,0,0,2856,106,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,7,0,26,0,0,0,0,118,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,1,4,0,5,0,0,0,50,0,0,0,9,27,0,0,0,5,,,4098,1790,3,3,1796,135,,-59,-59,76,,,,,938,2810,6908
A02,1,241,0,13,3,1,711,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1081,86,1,3,89,0,,92,92,92,,,,,270,451,1532
A03,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,29,21,0,0,22,0,,-3,-3,-3,,,,,38,57,86
B,3,6,21,159,3,1,0,6,0,3536,171,0,12,169,975,4,0,1,1,9,0,8,1,3529,2,20,325,0,0,19,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,4,11,7,0,0,0,1,0,0,1,,,9016,139,0,0,139,0,,-45,-45,-45,,,,,1444,1538,10554
C10-12,1167,0,0,0,2553,0,0,0,0,0,28,0,3,0,1,4,0,0,0,0,0,0,0,3,0,5,2,0,83,0,0,0,0,0,1082,0,0,0,1,1,0,0,14,3,0,3,0,1,1,0,0,63,36,24,57,40,4,0,8,0,0,,,5186,7876,11,0,7887,0,,-74,-74,-74,,,,,3384,11197,16383
C13-15,6,17,0,14,11,798,0,5,0,0,5,51,104,5,2,1,1,10,32,465,9,79,3,9,10,8,32,3,158,36,0,0,0,3,29,0,22,1,1,1,0,0,54,7,6,12,0,2,49,24,1,32,42,4,123,18,20,31,2,5,15,,,2379,885,3,7,895,0,,-41,-41,-41,,,,,2309,3163,5542
C16,7,27,0,14,4,0,738,110,0,0,10,0,21,46,187,10,6,2,6,187,6,312,0,0,0,8,363,0,32,0,0,0,8,0,19,3,7,0,0,0,0,0,382,7,14,0,0,15,7,1,1,11,0,3,0,6,1,3,0,5,10,,,2597,62,0,0,62,0,,-19,-19,-19,,,,,1115,1158,3755
C17,1,0,0,0,201,12,69,659,306,0,29,14,40,31,14,12,34,35,28,43,0,64,1,0,0,5,10,2,78,0,0,0,21,3,57,130,4,4,4,16,18,11,35,11,27,20,21,90,3,1,1,39,1,30,21,5,14,5,9,4,2,,,2296,185,0,11,197,0,,-34,-34,-34,,,,,1515,1678,3974
C18,2,1,0,1,22,2,0,40,400,0,16,0,10,10,5,4,0,0,0,2,0,0,0,0,0,1,10,0,0,0,0,0,0,0,2,305,36,1,0,20,52,5,15,4,16,49,186,173,4,0,0,77,20,12,5,5,7,2,11,37,0,,,1571,115,0,1,116,0,,0,0,0,,,,,41,157,1728
C19,170,27,0,28,18,26,56,18,4,61,436,0,108,58,235,36,0,0,31,111,16,5,20,127,6,65,277,22,826,703,3,170,91,8,4,0,2,21,3,0,19,2,103,19,24,0,6,4,15,3,9,23,66,8,17,4,4,16,2,0,11,,,4148,1018,0,15,1032,0,,-9,-9,-9,,,,,1306,2330,6477
C20,408,0,1,70,32,93,62,81,51,57,1760,52,2370,152,69,89,18,201,127,370,17,201,4,29,27,0,56,0,18,4,0,0,4,0,1,6,0,0,0,0,2,0,90,0,2,10,7,10,1,1,0,26,8,8,41,5,0,1,7,1,14,,,6663,802,0,0,802,0,,-20,-20,-20,,,,,4149,4931,11594
C21,10,0,0,0,0,1,0,0,0,0,0,126,0,0,0,0,0,0,0,41,2,0,0,0,6,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,16,54,0,0,0,0,3,0,1053,1,1,2,5,0,1,,,1393,589,0,1047,1636,0,,56,56,56,,,,,1304,2995,4389
C22,17,14,0,78,154,0,3,10,12,0,33,12,1672,49,0,450,563,136,104,3287,218,116,0,0,12,24,330,19,99,79,0,0,0,0,7,0,0,0,0,0,0,0,298,0,60,0,3,1,5,0,0,16,0,1,0,0,0,0,0,0,0,,,7882,201,0,0,201,0,,24,24,24,,,,,4514,4739,12620
C23,5,4,0,5,62,27,28,0,0,4,25,4,6,1173,41,32,44,23,17,14,6,21,2,0,0,17,1732,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,144,0,0,0,0,12,2,0,0,2,0,0,0,0,1,0,1,0,0,,,3462,171,0,0,171,0,,-58,-58,-58,,,,,2172,2285,5746
C24,8,0,12,4,8,0,0,2,2,0,13,0,20,26,2567,1386,39,1342,1451,1240,146,150,128,29,4,409,522,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,,,9549,12,0,0,12,135,,77,77,212,,,,,4373,4597,14146
C25,0,8,0,70,45,10,82,22,3,12,83,5,65,51,472,3149,289,273,1467,400,0,116,235,45,3,9,363,13,214,24,0,0,0,0,0,0,0,0,0,0,0,2,128,6,34,24,0,7,11,1,0,2,0,0,3,0,1,1,2,0,2,,,7752,298,0,0,298,636,,83,83,719,,,,,5153,6170,13922
C26,11,1,0,3,5,5,2,3,4,0,2,3,8,0,0,0,6945,619,295,167,380,9,11,53,5,0,231,12,82,55,0,0,13,11,41,18,36,274,5,84,20,9,0,36,125,0,1,12,1,0,0,6,15,72,60,0,20,4,6,0,11,,,9794,1172,15,91,1278,3229,,174,174,3402,,,,,11481,16161,25955
C27,0,5,0,16,0,1,0,0,0,0,0,2,71,6,4,17,52,831,167,1703,49,0,269,288,0,7,624,6,161,8,0,0,0,0,25,0,0,0,10,1,0,2,148,1,25,4,0,8,1,1,0,4,8,2,0,12,2,6,0,0,2,,,4550,608,0,1,608,983,,56,56,1039,,,,,7121,8768,13319
C28,39,9,6,113,7,5,11,3,3,3,43,0,27,114,0,37,41,25,274,161,49,55,106,199,9,16,268,3,85,2,0,0,0,1,3,2,0,0,2,3,0,8,48,6,28,0,1,4,44,0,0,2,1,2,10,7,2,1,0,25,7,,,1919,97,0,0,97,4248,,-45,-45,4203,,,,,9364,13664,15583
