PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
A01,1395,6,2,1,4302,46,1,1,0,5,3,2,8,1,2,2,0,0,1,0,0,8,1,8,0,8,1,0,105,2,4,9,0,6,0,630,0,0,0,4,0,0,0,24,0,0,5,0,0,6,0,1,0,4,1,3,1,0,1,8,0,1,0,0,6617,3510,0,0,3510,61,0,-364,-364,-303,661,400,261,511,1172,4379,10997
A02,0,9,0,1,5,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,113,0,0,113,1,0,-2,-2,-1,2,2,0,4,6,119,155
A03,0,0,69,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,289,670,0,0,670,0,0,-33,-33,-33,305,280,25,33,338,976,1265
B,0,0,0,25,6,0,0,1,0,7735,25,2,1,348,38,8,0,0,4,0,0,0,1,796,0,0,148,0,118,0,6,0,0,9,0,0,0,0,0,3,0,0,0,25,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9307,0,0,0,0,0,0,1332,1332,1332,64,45,18,132,195,1527,10834
C10-12,364,0,7,0,1342,8,0,3,0,2,7,4,4,0,0,0,0,0,0,0,1,4,1,0,0,0,2,0,43,10,1,289,0,7,0,3442,0,1,1,2,1,2,0,18,0,0,6,0,0,5,0,7,7,70,13,188,59,0,2,96,0,2,0,0,6025,14892,0,0,14892,0,0,-696,-696,-696,1388,942,446,538,1927,16123,22148
C13-15,7,0,29,0,43,554,3,7,1,1,6,5,20,6,6,8,0,1,1,1,1,43,4,0,0,13,4,15,264,74,1,4,0,1,0,50,9,0,21,7,100,0,0,22,23,13,2,10,3,1,0,0,2,20,6,21,3,1,1,19,2,0,0,0,1459,4739,0,0,4739,0,0,-809,-809,-809,689,507,181,199,888,4817,6276
C16,0,0,5,2,64,7,247,3,1,3,115,9,7,8,116,87,1,3,8,3,1,160,6,54,1,0,117,0,29,2,2,1,0,2,0,5,1,8,0,1,0,0,0,8,0,0,2,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1110,35,0,0,35,11,0,-72,-72,-61,26,19,7,19,46,20,1130
C17,1,0,3,0,37,8,8,410,234,0,10,7,24,7,1,1,0,5,1,0,0,3,4,2,0,0,6,13,223,64,4,1,0,2,0,45,8,1,18,7,63,9,7,21,25,11,4,9,2,2,0,8,4,5,0,14,0,1,1,25,2,0,0,0,1372,782,0,0,782,0,0,-72,-72,-72,85,47,38,42,127,836,2207
C18,0,0,0,1,48,3,0,1,7,0,6,6,1,3,3,2,0,0,0,2,1,1,2,13,3,1,34,0,3,1,16,2,3,1,1,237,79,9,0,11,5,3,3,7,0,0,12,0,0,0,1,48,54,164,9,4,0,16,5,69,0,0,0,0,903,35,0,0,35,0,0,-30,-30,-30,2,2,0,1,3,7,911
C19,549,4,68,42,167,17,11,10,5,999,219,12,28,105,80,61,1,7,15,2,3,17,16,670,5,16,113,27,468,121,408,627,159,274,77,154,9,0,18,9,3,4,10,57,54,32,9,24,7,16,0,24,23,172,20,75,19,3,6,37,4,0,0,0,6191,4105,0,0,4105,0,0,1660,1660,1660,1078,706,372,3515,4593,10358,16549
