PROD_NA/INDUSE,A,B,C10-12,C13-15,C16-18,C19,C20,C21,C22-23,C24-25,C26,C27,C28,C29-30,C31-33,D,E,F,G,H,I,J58-60,J61,J62_63,K,L,M69-71,M72,M73-75,N,O,P,Q86,Q87_88,R,S,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU,,
A,12292,0,34094,166,1543,0,53,0,365,0,0,0,1,0,0,20,15,407,1,0,1680,13,1,0,1,2,2,3,0,35,84,22,2,7,39,13,0,0,50861,14351,0,0,14351,856,0,3560,3560,4416,0,0,0,0,11419,30186,81047,,
B,146,106.76,605.63,29.69,125,27363.02,1850.51,24.11,973,2238,16.52,19.1,18.92,54,54,13423.86,34,1351.33,44,10,105.92,3,11.37,3.52,8,2,14,21.33,4,44,80.19,12.2,17.36,2.95,7,17,0,0,48841.15,7.85,0,0,7.85,0,0,-1350,-1350,-1350,,,,,1751,408.85,49250,,
C10-12,5333,41.61,23565.29,311.46,155,86.21,1863.79,333.84,126,178,33.12,39.65,50.57,104,157,43.34,144,389.92,1975,429,16250.27,434,300.91,169.44,56,106,689,531.54,297,937,387.33,2203.54,1640.47,453.53,1104,199,0,0,61118.15,92254.03,0,121.81,92375.84,0,0,-1935,-1935,-1935,,,,,29599,120039.84,181157.99,,
C13-15,140,5.49,294.45,4511.28,885,46.34,239,105.56,263,145,130.79,75.18,141.98,950,727,21.36,89,782.51,1725,137,276.61,556,123.96,10.28,45,108,103,26.37,61,193,198.01,121.1,406.9,84.74,201,119,0,0,14049.97,15295.25,0,16.72,15311.97,0,0,244,244,244,,,,,14480,30035.97,44085.94,,
C16-18,633,66.05,1894.13,244.64,7899,58.50,762.75,529.06,908,319,198.01,175.25,184.13,829,1371,43.95,443,4941.89,2647,315,232.35,5375,644.15,268.74,1205,473,2315,522.27,180,1578,774.64,553.55,147.42,200.25,561,320,0.00,0.00,39814.00,3832.02,0.00,0.00,3832.02,0.00,0.00,-355.00,-355.00,-355.00,0.00,0.00,0.00,0.00,7128.00,10605.02,50419.02,,
C19,1719,123.72,826.31,70.12,217,2535.75,5310.76,50.75,380,382,44.05,46.41,97.24,194,162,570.39,421,1949.03,3364,10236,125.42,291,298.87,208.18,251,98,642,142.81,257,932,679.16,193.4,131.79,74.4,304,148,0,0,33477.23,23982.76,0,0,23982.76,0,0,-288,-288,-288,,,,,11246,34940.76,68417.99,,
C20,5090,128.72,1966.52,916.6,1948,1431.42,14285.79,2320.78,8721,1832,215.97,689.22,513.34,1597,1157,4090.67,255,3015.73,1550,170,214.66,597,118.83,128.82,30,752,252,389.51,156,482,236.87,160.01,568.1,44.47,282,160,0,0,56467.95,6000.4,0,81.75,6082.15,0,0,-640,-640,-640,,,,,36980,42422.15,98890.09,,
C21,800,0,222.01,3.83,2,4.4,335,3069.94,9,2,1.21,1.15,1.06,2,33,1.98,10,4.75,17,9,4.91,1,1.15,7.24,11,7,35,39.2,297,90,105.77,39.71,3521.16,155.34,6,9,0,0,8859.44,5753.11,0,13036.29,18789.41,0,0,307,307,307,,,,,18788.15,37884.56,46744,,
C22-23,608,282.74,2903.09,353.19,654,1190.39,1738.49,442.11,5589,1464,1158.70,1229.32,1364.80,4908,2265,567.51,427,17761.36,3875,859,172.05,422,561.73,114.68,93,225,587,329.98,187,838,20.84,159.55,499.91,63.31,109,236,0.00,0.00,54260.23,4427.76,0.00,0.00,4427.76,0.00,0.00,417.00,417.00,417.00,0.00,0.00,0.00,0.00,13612.00,18456.76,72716.99,,
C24-25,386,136.69,1237.63,211.09,705,1013.82,1269.54,275.37,1472,25024,1824.62,3511.75,5397.95,9868,5946,522.00,1929,18086.55,813,465,138.96,187,294.94,116.49,4,274,275,185.52,77,1138,517.87,25.94,168.13,78.71,81,348,0.00,0.00,84005.06,2748.57,0.00,0.00,2748.57,4839.35,213.00,-694.00,-481.00,4358.35,0.00,0.00,0.00,0.00,27060.00,34166.92,118171.98,,
C26,0,16.29,66.84,20.95,123,198.52,144.05,11.74,215,618,3593.89,1900.52,1184.23,4992,1337,357.27,106,2183.68,1146,374,72.82,181,1898.28,1027.71,193,34,710,927.18,164,856,389.51,115.5,786.41,109.75,333,730,0,0,27116.97,10973.64,0,101.39,11075.03,6547.03,0,981,981,7528.03,,,,,23480,42083.06,69200.03,,
C27,36,18.9,156.18,29.99,209,249.04,246.38,17.87,178,1038,946.54,1879.17,966.22,1882,724,405.34,131,4238.06,1315,408,102.19,90,1028.89,413.81,48,376,730,261.39,53,433,49.01,13.07,23.93,4.37,69,191,0,0,18962.67,5068.66,0,0,5068.66,1931.64,0,514,514,2445.64,,,,,14774,22288.29,41250.96,,
C28,216,352.38,745.54,136.38,298,356.36,373.62,38.69,628,1247,578.46,432.26,2734.37,5578,3254,784.44,696,5000.29,1616,607,97.57,171,243.29,75.18,26,25,397,113.37,78,568,184.07,47.98,81.27,110.93,142,206,0,0,28239.96,540.02,0,0,540.02,10626.03,0,-297,-297,10329.03,,,,,27722,38591.05,66831.01,,
C29-30,167,3.42,139.84,7.19,20,53.41,40.46,1.08,40,78,20.99,16.67,645.18,22396,322,40.45,319,103.68,4344,861,14.58,103,72.65,23.15,34,53,118,78.40,28,262,2197.28,28.03,90.24,91.64,108,114,0.00,0.00,33035.80,36173.02,0.00,69.98,36243.00,23652.16,0.00,-4019.00,-4019.00,19633.16,0.00,0.00,0.00,0.00,76613.00,132489.16,165524.96,,
C31-33,2284,125.40,691.89,34.21,290,129.99,276.50,65.44,153,737,417.39,183.77,710.22,5575,7363,80.81,199,2848.95,3034,836,216.12,255,369.17,67.63,164,49,287,353.55,131,440,1312.82,86.57,2633.84,282.73,883,146,0.00,0.00,33713.28,12297.14,0.00,1770.90,14068.04,24889.61,142.00,-132.00,10.00,24899.61,0.00,0.00,0.00,0.00,11507.00,50474.65,84187.93,,
D,822,112.02,2262.59,180.2,1456,998.65,2788.68,234.08,1373,2699,228.01,174.49,223.3,716,153,42952.66,535,280.91,2739,1199,909.8,1350,993.95,146.69,391,439,777,247.8,201,325,1354.28,906.76,609.93,376.95,883,190,0,0,72228.94,29005.11,0,0,29005.11,0,0,0,0,0,,,,,2139,31144.11,103373.05,,
E,422,44.73,1150.40,219.89,885,738.92,658.35,186.14,575,3518,132.97,108.79,184.70,481,258,587.02,8381,1433.46,1881,445,399.46,602,332.81,318.21,252,814,894,349.90,411,1008,3056.81,654.99,608.46,234.44,304,110,0.00,0.00,32639.69,11144.29,0.00,0.00,11144.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4536.00,15680.29,48319.98,,
F,313,59.48,177.46,38.92,86,429.61,95.58,24.3,126,302,79.43,75.19,428.95,354,211,1373.29,620,38619.75,482,443,79.84,557,612.58,119.54,1144,3974,369,1006.17,103,894,3268.56,1117.72,252.96,486.64,942,87,0,0,59353.42,14675.9,0,0,14675.9,191770.61,0,-360,-360,191410.61,,,,,0,206086.51,265439.93,,
