PROD_NA/INDUSE,A,B,C10-12,C13-15,C16-18,C19,C20,C21,C22-23,C24-25,C26,C27,C28,C29-30,C31-33,D,E,F,G,H,I,J58-60,J61,J62_63,K,L,M69-71,M72,M73-75,N,O,P,Q86,Q87_88,R,S,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
A,5535.6,1.82,24165.22,571.14,274.87,43.71,182.67,47.64,285.22,49.98,7.27,9.44,18.92,9.17,81.8,43.94,32.34,34.55,2836.58,375.64,1868.53,14.64,6.11,38.67,2.36,50.12,119.25,103.41,52.7,684.48,31.34,12.57,19.27,33.28,48.34,20.63,0,0,37713.23,17494.14,0,466.4,17960.54,442.29,-0.01,214.02,214.01,656.3,4193.73,3151.92,1041.81,941.94,5135.65,23752.51,61465.73
B,32.81,541.32,476.52,228.82,387.24,30593.98,1165.56,51.88,3235,2961.17,26.36,90.73,153.84,81.01,166.19,7233.64,486.13,1242.65,3327.32,468.24,258.21,7.34,1.65,81.13,89.15,108.22,216.29,80.1,31.72,189.95,259.45,5.95,76.81,35.12,34.74,39.48,0,0,54465.7,11009.63,0,0,11009.63,85.79,0,10.46,10.46,96.25,645.85,571.26,74.59,464.79,1110.64,12216.52,66682.23
C10-12,4007.15,15.25,31078.36,660.15,65.32,120.91,1218.13,174.24,68.62,21.44,8.51,4.01,16.09,5.86,68.9,19.47,33.9,32.76,3431.23,646.33,15103.41,22.98,1.34,52.5,2.37,137.16,166.94,140.2,74.06,207.31,42.87,25.26,190.5,275.5,230.28,38.6,0,0,58407.91,66474.65,0,7.7,66482.35,0,0,2018.52,2018.52,2018.52,14251.51,10479.13,3772.38,7229.49,21480.99,89981.87,148389.78
C13-15,202.96,6.96,60.07,27211.63,518.9,75.49,395.86,40.34,528.36,316.77,26.28,34.99,153.6,531.54,827.71,12.62,159.17,188.69,2478.7,203.01,196.39,27.58,12.03,70.02,7.66,184.25,121.82,263.81,156.31,350.65,62.94,37.35,61.26,70.62,244.25,196.58,0,0,36037.16,29405.49,0,0,29405.49,309.37,0,1276.98,1276.98,1586.34,19133.46,14009.07,5124.39,15321.05,34454.51,65446.34,101483.5
C16-18,102.56,29.91,1471.45,330.77,15177.72,148.22,610.43,113.84,689.38,1417.7,110.69,422.31,671.52,584.97,4474.13,89.66,323.12,3014.4,2811.62,1365.44,1012.92,2388.07,647.89,488.76,1347.16,404.78,2343.37,173.61,1051,3381.38,280.61,170.66,121.82,176.6,607.76,410.55,0,0,48966.77,3939.28,12.19,0,3951.46,809.92,0,312.59,312.59,1122.51,4860.46,3816.21,1044.25,2244.94,7105.39,12179.36,61146.13
C19,1535.39,258.96,209.82,96.26,209.54,7278.87,4952.41,45.9,1134.84,1495.27,31.63,61.5,639.23,143.25,419.15,2657.95,1092.56,2204.23,1688.38,9346.58,570.04,5.13,2.86,66.36,63.39,80.08,378.79,238.34,112.59,697.93,372.99,5.38,78.12,4.82,22.71,52.91,0,0,38254.12,17494.86,0,0,17494.86,0,0,92.43,92.43,92.43,5153.26,4785.29,367.97,7462.89,12616.15,30203.43,68457.55
C20,2044.61,565.45,1226.56,1885.9,2465.9,2187.34,17019.22,1958.11,8680.32,1949.31,487.79,1195.04,914.09,1082.6,1882.86,84.72,407.83,460.19,2720.41,265.24,265.52,190.35,38.78,212.98,13.58,146.35,622.02,1186.68,208.57,573.09,129.9,74.18,934.79,110.76,61.64,579.88,0,0,54832.57,5882.4,0,0,5882.4,0,0,281.86,281.86,281.86,12944.28,9899.4,3044.88,8310.57,21254.85,27419.11,82251.69
C21,235.4,6.45,237.38,17.41,11.77,35.93,1429.89,4600.02,73.65,12.8,13.17,3.5,8.71,4.96,141.74,2.59,26.47,9.13,857.68,32.19,47.72,6.45,0.34,46.62,8.04,17.14,35.49,758.11,90.09,107.43,39.96,23.75,5639.67,130.02,19.75,12.69,0,0,14744.11,3230.88,0,5992.5,9223.38,0,0,188.79,188.79,188.79,7061.31,5734.39,1326.92,5919.18,12980.49,22392.66,37136.77
C22-23,565.85,453.11,1805.57,1994.26,909.33,250.19,1681.23,292.7,10111,3369.94,308.27,1466.44,2848.77,2702.84,1686.97,135.12,331.73,13018.16,3649.07,1704.77,617.44,117.47,101.09,246.9,243.96,651.4,1675.33,451.39,363.42,1090.53,105.85,162.1,85.94,94.39,130.37,182.41,0,0,55605.31,6744.46,0,0,6744.46,416.95,0,-401.47,-401.47,15.48,13527.58,10391.63,3135.95,6804.43,20332.01,27091.95,82697.28
C24-25,277.25,111.68,364.51,215.49,571.27,647.2,504.33,53.99,2417.2,47022.6,1264.94,6614.51,21178.64,9546.66,7061.01,224.62,1406.02,10097.71,4513.48,1029.92,262.81,64.02,226.6,515.83,101.41,891.08,1290.49,1253.38,431.31,1647.5,37.78,36.76,27.63,28.35,79.73,237,0,0,122254.7,2518.37,0,0,2518.37,7671.01,187.67,1097.11,1284.78,8955.79,23469.76,18069.78,5399.97,14045.93,37515.69,48989.85,171244.55
