,SE
A01,18186
A02,5395
A03,194
B,3951
C10-12,7119
C13-15,1178
C16,5012
C17,10728
C18,1591
C19,1221
C20-21,8919
C22,2378
C23,2420
C24,6002
C25,5589
C26,3098
C27,1570
C28,6485
C29,10235
C30,1217
C31_32,2326
C33,2014
D,59389
E36,18735
E37-39,2694
F,15081
G45,5872
H49,16482
H50,5180
H51,2432
H52-53,13033
I,6581
J58,1621
J59_60,423
J61,24284
J62_63,2815
K64,2366
K65,4994
K66,435
L,57388
M69_70,4005
M71-72,4222
M73,810
M74_75,644
N77,5036
N78,221
N79,274
N80-82,3066
O,107513
P,13848
Q86,20839
Q87_88,5883
R90-92,1417
R93,6445
S94,5174
S95,259
S96,919
