PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
A01,497.7,9.6,0,0.3,806,12.5,0,0.7,0,0.7,46.5,0,111,0.2,0.5,2.2,1.3,2.3,0.6,0,0.3,1.1,3.1,0.1,0.1,0.2,1,0,62.5,26.9,0.1,0,0,0.3,0,4.7,0,0.4,0.8,2,0.2,0,0.1,2.4,1.4,0.1,0.6,1.7,0,0.9,0.1,0,3.6,2.9,5.6,3.3,4.4,0.3,0.1,1.6,0,0.6,0,0,1625.2,1087.2,0,1.4,1088.5,35.5,0,2.6,2.6,38.1,608.7,,,23.4,632.2,1758.8,3384
A02,7,385.3,0,2.2,1.6,0.1,225.5,102.2,0,0,0,0,0,0.3,0.2,0.5,0.7,0.5,2.5,0,0,0.9,0.8,17,0.8,0.6,2.2,0,28.3,9,5.5,0,0,0.1,0,7.6,0,0.2,0.2,0.7,0.1,0,0,0,3,0.1,7.1,0.2,0,0.7,0,0,7.8,0.7,0,0.1,0.1,0,0,1.5,0,0,0,0,823.5,17.8,0,0,17.8,0,0,-3.3,-3.3,-3.3,169,,,0.2,169.2,183.6,1007.1
A03,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0.8,0,0,0,0,7.1,8.8,0,0,8.8,0,0,-0.1,-0.1,-0.1,1.9,,,0,1.9,10.6,17.7
B,6.9,10.4,0,56.1,4.2,0.1,4.2,1.1,0,2275.6,6.2,0,0.4,125.2,879.5,0.3,0.7,0.7,0.3,0.3,0.1,0.1,0.5,2257,2.9,2.3,115.3,0,5.4,1.9,2.3,0,0,10,0,0.3,0,0.5,0,0.2,0,0,0,67.6,0.1,5.7,0,0.1,0.9,1.4,0,0,0.9,0.3,4.3,0.1,0.5,0.1,0.1,0.3,0,2.7,0,0,5856.2,67,0,0,67,0,0,19,19,19,121.5,,,52.2,173.7,259.7,6116
C10-12,83.9,0.2,1.1,0.1,565,0.6,0.1,3.8,0.1,0.3,8.5,4.2,0.4,0.1,0.6,0.1,0.3,0.4,0.5,0,0,0.3,0.7,0.2,0,0.3,0.9,0,19.9,28.6,0.7,0,0,0.1,0,154,0,2.8,0.3,0.8,0.1,0.1,0.2,1.6,4.4,0,1.2,1.4,0.1,1.7,0.1,0.4,3.2,0.6,29.3,30.8,20.2,0.2,1.3,2.5,0,0.1,0,0,979.2,4333.9,0,0,4333.9,0,0,1.9,1.9,1.9,1448.3,,,62.7,1510.9,5846.7,6825.9
C13-15,0.4,0.3,0,0.2,2.6,214.8,1.1,9.6,0.4,0,0.2,0.2,5.6,1.1,2,0.6,0.4,1,1.3,116.7,0.1,6.1,0.9,1.5,0.4,0.7,2.4,1.3,12.6,23.4,2.2,0,0,4.5,0,0.6,0.2,1,1,0.7,0.1,0.1,0.2,1.6,0.4,0.2,0.2,1.3,0.2,3.2,0.7,0.1,4.7,9.1,3.4,3.6,1,0.7,1.6,0.3,0.1,1.3,0,0,452.1,1097,0,0,1097,3.9,0,8,8,11.8,1608.6,,,169.7,1778.3,2887.1,3339.2
C16,4,0.7,0,2.8,5.4,1.7,339.7,8.2,2.6,0.2,3.6,0,6.4,32.5,10.1,10,2.7,13.1,16.3,7.2,11.9,249,2.6,3.7,0.1,0.9,282.3,0.1,52.3,41.4,1.4,0,0,4.2,0.1,11.8,0.2,0,6.1,3,0.1,0.1,0.8,13.1,1.7,0,0.1,9.8,36.2,6.4,1,0,40.8,0.7,0.5,5.9,0.3,17,0.7,0.1,0.1,5.1,0,0,1278.7,68.3,0,0.1,68.4,5.4,0,19.1,19.1,24.5,561.3,,,32.3,593.6,686.5,1965.2
C17,3,0.1,0.1,1.1,92.7,8.2,5.8,213.4,73.6,0.2,10.9,8.5,7,14.7,7,7.1,17.6,8.9,10.7,7.4,0.1,6.5,1,4.7,0.2,0.7,2.2,1,28.2,30.3,1.2,0,0.1,1,2.1,3.9,57.2,1.3,2.3,0.7,2.9,0.9,4.5,3.9,8.7,1,2.2,18.6,4.7,2.6,0.8,28.5,11.9,14.8,7.8,5.9,1.8,1.4,0.7,2.3,0.1,0.1,0,0,768.5,236.6,0,0,236.6,0,0,7.9,7.9,7.9,818.3,,,123.6,942,1186.5,1955
C18,0.1,0.1,0,0.1,0.3,0.1,0,0.5,18.9,0,0.1,0,2.8,0.1,0.1,0,6.7,0.3,2.7,2.1,0,0.1,0.4,0.2,0,0.1,0.5,0.6,10.4,4.3,0.3,0,0,0.1,0.7,0.4,44.6,0.9,3,0.6,1.7,0.8,0.4,0.4,1,0.3,0.7,24.6,0,0.9,0,0.8,0.2,6.9,4.4,4,0.5,1.3,0.5,3.5,0,0,0,0,154.9,124.9,0,1,125.9,0,0,4.8,4.8,4.8,2.7,,,0,2.7,133.4,288.2
C19,85,4.5,0.8,8.7,37.2,4.3,18.6,3.5,0.8,391,310.7,0.4,6.5,16.4,68.6,13.3,5.2,5,10.3,45.5,2,2.9,15.2,96,2.4,17.3,68.6,18.4,79.7,58.4,482.7,6.5,9,12.2,2.7,8.9,1.2,5.6,4.8,10.6,1.3,1.2,0.9,4.8,8.2,0.2,0.6,8.1,7.8,16.8,0.9,1.1,8.4,8.8,6.9,15,1.2,1.7,2.4,2.2,2.8,2,0,0,2044.5,596.9,0,0,596.9,0,0,65.1,65.1,65.1,1939.2,,,33.1,1972.3,2634.2,4678.7
C20,193.8,0.7,0.1,7.9,51.6,65.9,21.4,97.7,14.8,36.7,440.6,28.4,506.1,43.3,119.6,21.2,25.3,64.8,48.6,166.6,8.2,21.7,1.2,42.9,1.9,3.3,52.8,1.7,28.1,12,2,0,0,3.1,0,0.5,30,0.7,0.5,0.1,0.2,0.1,0.2,2.4,0.2,0.7,14.9,9.3,0.7,9.2,0.1,0,5.1,4.5,2,36,2.2,0.3,0.7,0.6,0,1.2,0,0,2255.7,537.3,0,0,537.3,0,0,38.2,38.2,38.2,1612.8,,,212.1,1824.9,2400.3,4656
C21,0.3,0,0,0,0.1,0,0,0,0,0,0.8,5.6,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.4,0,2.1,0,0,0,0,2.2,0.3,67.2,0.3,0,0.1,1.9,0,0,0,0,81.6,416.9,0,942.8,1359.7,0,0,-7.6,-7.6,-7.6,226.3,,,102.6,328.8,1681,1762.5
C22,25.2,0.6,0,7.8,77.1,40.5,4.7,51,4.3,1.1,47.7,3.3,508.1,19.5,7.1,47.1,573.3,105.1,56.6,470.2,1.1,41.7,2.4,6.7,3.1,17.6,166.1,19.1,32.4,24,54.9,0,0.6,4.4,0.1,1.9,2.6,0.2,2.3,1.1,1,0.1,0.5,4.7,0.8,3,0.2,6.7,1.4,3.3,2.1,0.1,20.3,0.8,0.9,15.6,0.1,0.1,0.2,0.2,0,0,0,0,2494,191.2,0,0,191.2,4.5,0,30.1,30.1,34.6,1771.5,,,176.4,1947.9,2173.7,4667.7
C23,4.6,0.1,0,8.6,21.4,3.2,2.7,2,0.1,0.5,12.2,3.9,22.4,246.1,143.7,28.3,3.5,24.8,11.2,8,0.8,2.7,0.1,4.6,0.6,6.5,642.7,0.3,17.6,8.8,9.9,0,0,0.3,0,1.6,0,0.1,0.6,0.3,0.1,0,0.1,17.5,4.2,1.7,5.9,0.5,0.2,1.6,0,0,2.6,0.5,20.4,1.6,0.2,0,0.1,0.6,0.1,2.2,0,0,1304.3,232.4,0,0,232.4,0.2,0,-9.9,-9.9,-9.7,607.5,,,86.6,694.1,916.8,2221.1
C24,0.7,0.4,0,1.6,9.8,0.9,2,0.3,0.7,3.7,6.1,0.1,21.2,13.1,916.2,302.3,70.7,123.8,358.2,266.2,41.5,19.6,25.8,27.1,0.4,0.7,180,0.5,57.2,14.8,0.6,0,0,2.4,0,0.1,0.6,0.1,0.3,1.6,0.2,0,0,2.2,1.7,2,2.7,0.9,0,4.9,0,0,0.9,0.2,0.1,0.7,0,0.1,0,0,0.1,0,0,0,2487.9,24.7,0,0,24.7,0,0,269.9,269.9,269.9,3086.2,,,492.9,3579.2,3873.8,6361.7
C25,8.5,1.6,0.1,4.3,12,7.2,26.1,17.5,2.5,0.5,7.9,0,83.9,17.1,109.2,1181.3,36,106.9,480.5,652,60.7,114.5,116.7,22.1,0.5,3.5,167.4,0,34.8,31.5,1.9,0,0,0.9,0,1.2,1.2,0.2,1.4,1.4,0.1,0.1,0.3,8.5,5.6,12,3.7,4.3,3.5,1.3,10.2,0.1,9.2,1.5,0.2,3.3,0.2,0.1,0.3,0.2,0.1,0.2,0,0,3379.6,111.9,0,0,111.9,637.1,0,152.2,152.2,789.3,1758.9,,,246.5,2005.4,2906.5,6286.2
C26,0.3,0.2,0,0.4,1.8,0.7,0,0,0.2,0,6.8,0,7.9,0.1,6.6,14.4,3599.6,186.5,185.7,13.4,11.8,2.3,38.1,16.1,6.8,3.8,11.3,3.9,86.4,29.2,9.4,0,1,0.6,0,1.2,23.5,2.3,10.3,6.9,0.5,0.1,0.2,11,1.2,6.3,0.3,7.4,8.7,2.6,0.1,0,7.1,22.3,6.6,7.5,0.6,0.9,0.1,0.3,5.4,0.8,0,0,4379.4,900.2,0,4.9,905.1,956.4,0,245.7,245.7,1202,7580.5,,,1676.3,9256.8,11364,15743.4
C27,3.3,0.1,0,6.1,5.9,1.5,0.7,0.7,0.2,0.5,5,0,17.6,1,0.7,8.1,180.5,530.9,74.8,282.2,13.4,5.7,72.3,83.5,0.3,9.6,305.7,3.9,190.4,76.5,40.8,0,1.7,5.5,0,0.9,0.1,3.5,28.4,12.7,1,0.1,0.2,10.8,4.5,44.3,1.7,4.8,11.8,5.7,0.1,0.1,10.5,2,1.2,4.3,0.7,0.5,0.1,0.2,39.2,0.2,0,0,2118.7,340.9,0,0,340.9,263,0,107.4,107.4,370.4,2321.4,,,357,2678.5,3389.7,5508.4
C28,18.2,0.1,0,2.8,5.7,1,3.3,1.4,0.4,0.8,60.1,2.1,1.2,5.7,5.5,114.9,1.1,71.6,134.2,160.7,1.1,1.6,20.8,1.3,2,1.4,33,1.8,35,15.4,2.9,0,0.6,0.2,0.1,0.2,0.2,4.3,0.2,1.5,0.1,0,0.1,5.5,3.9,0.5,8.4,5.6,0.1,1.5,0,0,0.8,8.5,0.5,0.5,0.7,0.4,0,0.7,0,0.1,0,0,752.5,44,0,0,44,2066.3,0,107.1,107.1,2173.5,2447.3,,,963.7,3410.9,5628.4,6380.8
C29,3.8,0.2,0.7,0.3,1.4,0,1.2,0,0,0,0,0,14.4,0.2,0,10.1,2.1,15.1,8.3,6696.6,3.3,55.1,2.4,0.1,0.3,2,1.8,104.4,12.2,5.5,64.7,0,0,2.4,0,0.4,0,0.2,0.3,0.5,0.1,0,0.1,0.1,0.6,0.7,1.7,0.5,0.5,1.2,0.1,0,1,0.4,0.1,0.4,0.1,0.1,0.3,0,0,0,0,0,7017.8,792.6,0,0,792.6,1247.8,0,88.5,88.5,1336.2,7607.1,,,3036.8,10643.9,12772.7,19790.5
C30,0,0,0,0.3,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0,0.1,0,0.1,101.4,0,66.2,0,0,0,0.1,1,0,0,81.1,0,7.4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.6,0,0,0.1,0,0,0,0,0,266.7,79.9,0,0,79.9,129,0,-60.5,-60.5,68.5,288.1,,,126.4,414.5,562.8,829.5
