NACE_R2,UK
A01,27961
A02,1380
A03,1147
B,66256
C10-12,42989
C13-15,5627
C16,3018
C17,5960
C18,12649
C19,5649
C20,26458
C21,10986
C22,11123
C23,9464
C24,31674
C25,16630
C26,11175
C27,7850
C28,10623
C29,26000
C30,8019
C31_32,5901
C33,5675
D,79472
E36,56666
E37-39,69821
F,310448
G45,16798
G46,48227
G47,143971
H49,142338
H50,2882
H51,31401
H52,110894
H53,3153
I,93782
J58,4783
J59_60,15799
J61,51388
J62_63,12907
K64,55579
K65,58415
K66,7996
L,90323
M69_70,19067
M71,8001
M72,9001
M73,3307
M74_75,4755
N77,28296
N78,1937
N79,4750
N80-82,19310
O,147536
P,125550
Q86,85669
Q87_88,35635
R90-92,38716
R93,23306
S94,6371
S95,695
S96,6657
