PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
A01,2967,47,0,0,11328,4,5,0,1,1,192,90,73,1,0,0,0,0,0,0,0,1,0,9,0,0,135,14,614,148,20,40,0,0,0,1051,0,13,1,26,0,0,0,26,2,8,43,1,2,59,6,0,4,0,38,29,40,10,8,2,0,0,0,0,17064,14367,0,0,14367,1221,0,194,194,1414,0,,,0,2186,17967,35031
A02,2,244,0,1,0,0,220,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,118,0,15,0,0,0,0,0,0,48,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,27,0,0,0,0,0,697,209,0,0,209,0,0,12,12,12,0,,,0,58,279,976
A03,0,0,58,0,473,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,4,1,22,0,0,0,163,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,241,0,0,241,0,0,10,10,10,0,,,0,694,945,1696
B,0,0,0,6282,50,1,4,41,1,18794,689,4,16,1058,1176,9,14,2,4,2,0,192,22,30911,0,6,2427,0,335,22,252,2,0,54,0,266,1,2,0,121,0,0,0,0,115,331,54,0,31,121,135,20,117,5,5,0,0,7,4,5,7,2,0,0,63719,251,0,0,251,495,0,-801,-801,-305,0,,,0,26351,26296,90016
C10-12,2723,1,69,56,17510,126,12,105,21,56,438,92,24,101,166,6,78,14,24,42,26,24,13,103,6,28,262,73,2483,4566,169,91,87,198,166,19118,15,284,164,166,418,94,59,49,203,85,150,164,99,82,248,38,435,182,934,857,1789,388,258,363,8,9,0,0,56620,49772,0,0,49772,0,0,-94,-94,-94,0,,,0,14892,64569,121189
C13-15,135,6,10,41,10,2322,4,43,4,2,23,2,97,37,1,5,16,2,13,349,70,379,15,0,0,12,339,448,379,563,45,2,19,22,42,435,4,86,37,49,90,36,21,22,41,21,80,40,22,27,48,5,148,691,267,384,268,69,54,29,0,107,0,0,8540,28913,0,0,28913,439,0,528,528,968,0,,,0,5305,35186,43726
C16,33,4,0,27,87,19,2335,84,2,1,54,9,34,96,12,152,54,31,50,196,76,737,47,10,0,5,4367,28,134,82,16,2,1,20,8,121,4,21,20,29,7,57,16,43,37,20,45,15,6,17,23,2,92,14,196,1,42,23,9,10,0,1,0,0,9682,621,0,0,621,266,0,170,170,436,0,,,0,356,1413,11095
C17,352,1,1,1,2755,127,101,3474,1378,24,449,134,462,273,28,134,86,80,75,47,30,283,40,86,19,45,403,57,1053,317,99,0,6,52,22,294,385,40,34,217,406,347,152,176,148,122,99,386,33,41,79,5,160,810,333,554,203,51,40,15,7,40,0,0,17666,1951,0,0,1951,0,0,68,68,68,0,,,0,2052,4071,21737
C18,12,4,0,2,30,7,2,70,631,6,24,28,7,9,4,9,1,6,13,12,13,55,7,21,0,26,49,79,279,128,17,1,1,87,5,42,1116,38,114,80,571,666,110,238,174,20,89,584,15,14,24,140,76,959,1138,808,115,98,189,12,2,4,0,0,9074,1062,0,0,1062,0,0,497,497,497,0,,,0,38,1597,10671
C19,912,35,98,436,582,37,93,90,26,2343,739,56,149,198,507,104,58,93,138,58,61,108,56,657,55,80,808,239,1463,1155,2502,237,1501,128,228,1107,16,100,324,366,386,78,138,73,182,198,183,108,83,189,120,70,169,888,378,163,305,114,58,50,17,43,0,0,21943,17609,0,0,17609,0,0,68,68,68,0,,,0,13028,30705,52649
